date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-04,0,V0_BASELINE,BRSR6,rebalance_buy,505,19.77,9983.85,2.4959625,-9986.3459625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,CPFE3,rebalance_buy,407,24.52,9979.64,2.49491,-9982.134909999999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,KLBN3,rebalance_buy,1257,7.9505,9993.7785,2.4984446250000003,-9996.276944625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,REDE3,rebalance_buy,1769,5.65,9994.85,2.4987125000000003,-9997.348712500001,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,SHOW3,rebalance_buy,93,107.3,9978.9,2.494725,-9981.394725,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,SUZB3,rebalance_buy,278,35.89,9977.42,2.494355,-9979.914355,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,TRIS3,rebalance_buy,4413,2.2654,9997.2102,2.49930255,-9999.70950255,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,UNIP3,rebalance_buy,395,25.2636,9979.122,2.4947805,-9981.616780499999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,UNIP5,rebalance_buy,399,25.0,9975.0,2.49375,-9977.49375,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V0_BASELINE,UNIP6,rebalance_buy,394,25.3545,9989.673,2.4974182500000004,-9992.17041825,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,BRSR6,rebalance_buy,505,19.77,9983.85,2.4959625,-9986.3459625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,CPFE3,rebalance_buy,407,24.52,9979.64,2.49491,-9982.134909999999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,KLBN3,rebalance_buy,1257,7.9505,9993.7785,2.4984446250000003,-9996.276944625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,REDE3,rebalance_buy,1769,5.65,9994.85,2.4987125000000003,-9997.348712500001,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,SHOW3,rebalance_buy,93,107.3,9978.9,2.494725,-9981.394725,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,SUZB3,rebalance_buy,278,35.89,9977.42,2.494355,-9979.914355,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,TRIS3,rebalance_buy,4413,2.2654,9997.2102,2.49930255,-9999.70950255,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,UNIP3,rebalance_buy,395,25.2636,9979.122,2.4947805,-9981.616780499999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,UNIP5,rebalance_buy,399,25.0,9975.0,2.49375,-9977.49375,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V1_NW_MOVING,UNIP6,rebalance_buy,394,25.3545,9989.673,2.4974182500000004,-9992.17041825,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,BRSR6,rebalance_buy,505,19.77,9983.85,2.4959625,-9986.3459625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,CPFE3,rebalance_buy,407,24.52,9979.64,2.49491,-9982.134909999999,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,KLBN3,rebalance_buy,1257,7.9505,9993.7785,2.4984446250000003,-9996.276944625,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,REDE3,rebalance_buy,1769,5.65,9994.85,2.4987125000000003,-9997.348712500001,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,SHOW3,rebalance_buy,93,107.3,9978.9,2.494725,-9981.394725,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
2018-04-04,0,V2_NW_ENTRY_FIXED,SUZB3,rebalance_buy,278,35.89,9977.42,2.494355,-9979.914355,2018-04-04,TARGET_TOPN_ENTRY,,TRAIN
