date,phase,arm,ticker,event_type,qty,price,gross,cost,net_settlement,settle_date,reason,score,split
2018-04-11,5,V1_NW_MOVING,A2XO34,rebalance_buy,1235,8.093025333333333,9994.886286666666,2.4987215716666666,-9997.385008238332,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,CPFE3,rebalance_buy,409,24.42,9987.78,2.496945,-9990.276945000001,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,D1EX34,rebalance_buy,8274,1.20816496,9996.35687904,2.49908921976,-9998.85596825976,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,F1TN34,rebalance_buy,535,18.670711599999997,9988.830705999999,2.4972076765,-9991.3279136765,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,KLBN3,rebalance_buy,1355,7.3762,9994.751,2.49868775,-9997.24968775,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,NFLX34,rebalance_buy,4834,2.068114168,9997.263888112,2.499315972028,-9999.763204084029,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,REDE3,rebalance_buy,1995,5.01,9994.949999999999,2.4987375,-9997.448737499999,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,RSUL4,rebalance_buy,1893,5.281,9996.932999999999,2.4992332499999996,-9999.43223325,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,SUZB3,rebalance_buy,280,35.7,9996.0,2.499,-9998.499,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-11,5,V1_NW_MOVING,TRIS3,rebalance_buy,4303,2.3231,9996.2993,2.499074825,-9998.798374825,2018-04-11,TARGET_TOPN_ENTRY,,TRAIN
2018-04-12,5,V1_NW_MOVING,F1TN34,defensive_sell,535,18.990952200000002,10160.159427,2.54003985675,10157.61938714325,2018-04-13,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-12,5,V1_NW_MOVING,REDE3,defensive_sell,1995,5.25,10473.75,2.6184375,10471.1315625,2018-04-16,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-13,5,V1_NW_MOVING,KLBN3,defensive_sell,1355,6.901,9350.855,2.33771375,9348.51728625,2018-04-17,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-18,5,V1_NW_MOVING,CPFE3,defensive_sell,409,24.44,9995.960000000001,2.4989900000000005,9993.46101,2018-04-20,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-18,5,V1_NW_MOVING,NFLX34,defensive_sell,4834,2.2642989759999996,10945.621249983998,2.7364053124959997,10942.884844671502,2018-04-19,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-18,5,V1_NW_MOVING,TRIS3,defensive_sell,4303,2.2577,9714.8831,2.428720775,9712.454379224999,2018-04-20,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-20,5,V1_NW_MOVING,AMER3,rebalance_buy,1287,7.85,10102.949999999999,2.5257375,-10105.475737499999,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-20,5,V1_NW_MOVING,BRSR6,rebalance_buy,492,20.52,10095.84,2.52396,-10098.36396,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-20,5,V1_NW_MOVING,E2NP34,rebalance_buy,15090,0.66974364,10106.4315276,2.5266078819,-10108.9581354819,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-20,5,V1_NW_MOVING,M1TC34,rebalance_buy,1269,7.964288550000001,10106.682169950001,2.5266705424875004,-10109.208840492489,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-20,5,V1_NW_MOVING,NFLX34,rebalance_buy,4521,2.235456954,10106.500889034,2.5266252222584997,-10109.027514256259,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-20,5,V1_NW_MOVING,REDE3,rebalance_buy,1864,5.42,10102.88,2.5257199999999997,-10105.405719999999,2018-04-20,TARGET_TOPN_ENTRY,,TRAIN
2018-04-23,5,V1_NW_MOVING,NFLX34,defensive_sell,4521,2.193925698,9918.738080658,2.4796845201645,9916.258396137835,2018-04-24,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-24,5,V1_NW_MOVING,AMER3,defensive_sell,1287,7.7,9909.9,2.477475,9907.422525,2018-04-26,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-25,5,V1_NW_MOVING,REDE3,defensive_sell,1864,5.45,10158.800000000001,2.5397000000000003,10156.260300000002,2018-04-27,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-26,5,V1_NW_MOVING,A2XO34,defensive_sell,1235,8.305094333333333,10256.791501666667,2.5641978754166668,10254.22730379125,2018-04-27,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-04-30,5,V1_NW_MOVING,E2NP34,defensive_sell,15090,0.5778626000000001,8719.946634000002,2.1799866585000003,8717.766647341501,2018-05-02,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-02,5,V1_NW_MOVING,A2XO34,rebalance_buy,846,8.263632000000001,6991.032672000001,1.7477581680000003,-6992.780430168001,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,E2NP34,rebalance_buy,10661,0.65605248,6994.175489280001,1.7485438723200002,-6995.924033152321,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,F1TN34,rebalance_buy,352,19.8161856,6975.2973312,1.7438243328,-6977.0411555328,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,FHER3,rebalance_buy,152,46.0,6992.0,1.748,-6993.748,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,L1UL34,rebalance_buy,79,88.329744,6978.049776000001,1.7445124440000002,-6979.794288444001,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,P2AN34,rebalance_buy,3613,1.935431568,6992.714255184,1.748178563796,-6994.462433747795,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,REDE3,rebalance_buy,1345,5.2,6994.0,1.7485,-6995.7485,2018-05-02,TARGET_TOPN_ENTRY,,TRAIN
2018-05-02,5,V1_NW_MOVING,BRSR6,rebalance_sell,492,19.28,9485.76,2.37144,9483.38856,2018-05-04,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-02,5,V1_NW_MOVING,M1TC34,rebalance_sell,1269,6.124809600000001,7772.383382400001,1.9430958456000003,7770.440286554402,2018-05-03,OUTSIDE_TARGET_TOPN,,TRAIN
2018-05-03,5,V1_NW_MOVING,A2XO34,defensive_sell,846,8.169205333333332,6911.147711999999,1.7277869279999998,6909.419925071999,2018-05-04,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-03,5,V1_NW_MOVING,F1TN34,defensive_sell,352,19.9100724,7008.3454848,1.7520863712,7006.5933984288,2018-05-04,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-03,5,V1_NW_MOVING,FHER3,defensive_sell,152,35.9,5456.8,1.3642,5455.4358,2018-05-07,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-03,5,V1_NW_MOVING,L1UL34,defensive_sell,79,88.585806,6998.278674,1.7495696685000002,6996.5291043315,2018-05-04,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-03,5,V1_NW_MOVING,REDE3,defensive_sell,1345,5.1,6859.499999999999,1.7148749999999997,6857.785124999999,2018-05-07,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-04,5,V1_NW_MOVING,D1EX34,defensive_sell,8274,1.47340284,12190.93509816,3.04773377454,12187.88736438546,2018-05-07,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-08,5,V1_NW_MOVING,E2NP34,defensive_sell,10661,0.6427524800000001,6852.384189280001,1.7130960473200003,6850.671093232681,2018-05-09,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-08,5,V1_NW_MOVING,P2AN34,defensive_sell,3613,2.006114234,7248.090727442,1.8120226818604999,7246.27870476014,2018-05-09,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-09,5,V1_NW_MOVING,SUZB3,defensive_sell,280,42.85,11998.0,2.9995000000000003,11995.0005,2018-05-11,V1_BLOCKED_BC_MOVING,6.0,TRAIN
2018-05-11,5,V1_NW_MOVING,A2XO34,rebalance_buy,781,11.361656444444444,8873.45368311111,2.2183634207777776,-8875.672046531889,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,B1RF34,rebalance_buy,84,104.933608,8814.423072000001,2.2036057680000005,-8816.626677768001,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,C1PR34,rebalance_buy,359,24.670827,8856.826893,2.21420672325,-8859.04109972325,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,D1EX34,rebalance_buy,5727,1.5500744,8877.2760888,2.2193190222,-8879.4954078222,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,E2NP34,rebalance_buy,12208,0.72717776,8877.38609408,2.21934652352,-8879.60544060352,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,F1TN34,rebalance_buy,411,21.565320800000002,8863.346848800002,2.2158367122000007,-8865.562685512201,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,N1RG34,rebalance_buy,71,124.68455599999999,8852.603475999998,2.2131508689999997,-8854.816626868998,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,P2AN34,rebalance_buy,4423,2.0071380046666665,8877.571394640665,2.219392848660166,-8879.790787489324,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
2018-05-11,5,V1_NW_MOVING,SUZB3,rebalance_buy,205,43.1,8835.5,2.208875,-8837.708875,2018-05-11,TARGET_TOPN_ENTRY,,TRAIN
