date,equity,cash_free,cash_pending,state_cash_effective,n_tickers,max_concentration,out_of_range_9_11,ret_cdi,variant,buffer_k,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,cost_total_cum
2018-07-02,99975.0070167183,1.5500597082655938,0.0,0,9,0.1500295522309067,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-03,98332.97675359595,0.13305023596653381,0.0,0,9,0.1511756571475538,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-04,98681.63165283273,0.13308294370604146,29.286176625000003,0,9,0.1511756690392316,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-05,100219.66782046501,0.32533312201160625,318.845168775,0,9,0.15024848371725658,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-06,102869.22915702185,0.2043280890407771,491.2347094128001,0,9,0.15002765826933903,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-10,101367.77576182692,0.08552935798440421,258.4791523649221,0,9,0.15004271550493656,0,0.00024583,C3,,0,0,0,0,0,0,5204.924136624593
2018-07-11,100364.60397280628,66.15004043991283,247.62054595335752,0,10,0.1502308138717444,0,0.00024583,C3,,1,0,0,0,0,0,5204.924136624593
2018-07-12,102351.9921850055,38.911449644002495,349.70731330949997,0,10,0.15242722945863255,0,0.00024583,C3,,1,0,0,0,0,0,5204.924136624593
2018-07-13,102062.72413373804,23.533296722011837,250.88211962603998,0,10,0.15176997681055995,0,0.00024583,C3,,1,0,0,0,0,0,5204.924136624593
2018-07-16,101974.96988479674,8.078575751741214,349.9125,0,11,0.15101086750892834,0,0.00024583,C3,,1,0,1,0,1,1,5204.924136624593
2018-07-17,102627.59887427614,8.080561708018264,1017.8450066171249,0,11,0.15009197017792597,0,0.00024583,C3,,1,0,1,0,1,1,5204.924136624593
2018-07-18,101819.54140627505,1026.1777716076044,256.0547405694345,0,11,0.15123397579505304,0,0.00024583,C3,,1,0,2,0,1,2,5204.924136624593
2018-07-19,102086.19115311537,1148.1482921033953,134.3664,0,11,0.15148726231547782,0,0.00024583,C3,,1,0,2,0,1,2,5204.924136624593
2018-07-20,99453.01844047943,1282.8299726901548,418.3674448042951,0,11,0.15334619104222819,0,0.00024583,C3,,1,0,2,0,0,2,5204.924136624593
2018-07-23,99483.58600018747,1701.6156228555924,357.733356796875,0,11,0.15106570570316674,0,0.00024583,C3,,1,0,2,0,0,2,5204.924136624593
2018-07-24,96111.72572367312,2059.855229412135,0.0,0,11,0.1524755813107872,0,0.00024583,C3,,1,0,2,0,0,2,5204.924136624593
2018-07-25,97024.46261234565,1546.249986425683,14503.46314752,0,10,0.15336201942649713,0,0.00024583,C3,,1,0,2,1,1,3,5204.924136624593
2018-07-26,98511.53510064179,15715.492177684775,0.0,0,10,0.16944478663535975,0,0.00024583,C3,,1,0,2,1,1,3,5204.924136624593
2018-07-27,97066.38783689696,1416.2417046832031,16431.54930244575,0,10,0.15001737737957543,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-07-30,95699.5996150811,17564.12166045203,568.0786485740625,0,10,0.1500408261659772,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-07-31,95988.01969552758,17439.43558805781,0.0,0,10,0.15441949843109856,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-08-01,96230.77224279166,16217.33687901307,470.15703834825,0,10,0.15056394119382446,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-08-02,98144.19891953871,1969.862768543455,120.23786530859374,0,11,0.1504782663127922,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-08-03,96867.8613924502,2090.614443290868,0.0,0,11,0.15595777714131978,0,0.00024583,C3,,0,0,2,2,1,4,5204.924136624593
2018-08-06,97806.2964096341,2091.1283790394623,263.578532589075,0,11,0.15395625914955688,0,0.00024583,C3,,1,0,2,2,1,4,5204.924136624593
2018-08-07,97959.8929080262,2355.285769228623,578.8419723942316,0,11,0.15008253054955523,0,0.00024583,C3,,1,0,2,2,0,4,5204.924136624593
2018-08-08,97294.93932000789,2934.8490382455775,858.7578867455243,0,11,0.15080819561683664,0,0.00024583,C3,,1,0,2,2,0,4,5204.924136624593
2018-08-09,98423.63513448952,3794.5395073814716,12778.4213858025,0,11,0.15345677640336766,0,0.00024583,C3,,1,0,2,3,1,5,5204.924136624593
2018-08-10,105332.90149025556,16577.03502416034,5151.75567813522,0,11,0.14999790970016755,0,0.00024583,C3,,1,0,2,3,1,5,5204.924136624593
2018-08-13,106325.06369483392,21734.132290913905,0.0,0,11,0.14795448086158397,0,0.00024583,C3,,1,0,2,3,1,5,5204.924136624593
2018-08-14,107137.15248425763,21739.47519265498,0.0,0,11,0.15467127112263782,0,0.00024583,C3,,1,0,2,3,1,5,5204.924136624593
2018-08-15,105513.09219130452,21744.819407841587,89.21964579093002,0,11,0.14999622159605602,0,0.00024583,C3,,1,0,2,3,0,5,5204.924136624593
2018-08-16,104826.30680468529,21839.40651545307,0.0,0,11,0.15037897186487,0,0.00024583,C3,,1,0,2,3,0,5,5204.924136624593
2018-08-17,106369.85677500322,21844.77529675676,0.0,0,11,0.1484809335932992,0,0.00024583,C3,,1,0,2,3,0,5,5204.924136624593
2018-08-20,107868.72640595243,21850.14539786796,0.0,0,11,0.15237168132628492,0,0.00024583,C3,,1,0,2,3,0,5,5204.924136624593
